"participant","bigram","word","RT"
1,"bu bu","bu",331
1,"bu ka","ka",339
1,"ka bu","bu",356
1,"bu ta","ta",353
1,"ta bu","bu",334
1,"bu ti","ti",338
1,"ti ba","ba",351
1,"ba bu","bu",368
1,"bu bu","bu",347
1,"bu ka","ka",360
1,"ka ba","ba",334
1,"ba re","re",341
1,"re do","do",357
1,"do ka","ka",350
1,"ka ka","ka",341
1,"ka re","re",307
1,"re ba","ba",312
1,"ba ba","ba",352
1,"ba ka","ka",342
1,"ka ti","ti",345
1,"ti to","to",330
1,"to bu","bu",328
1,"bu ka","ka",338
1,"ka ka","ka",355
1,"ka ta","ta",327
1,"ta bu","bu",356
1,"bu ba","ba",323
1,"ba bu","bu",332
1,"bu ti","ti",335
1,"ti ba","ba",303
1,"ba ka","ka",345
1,"ka ta","ta",352
1,"ta go","go",329
1,"go ta","ta",351
1,"ta bu","bu",381
1,"bu ti","ti",345
1,"ti ba","ba",348
1,"ba bu","bu",349
1,"bu ba","ba",348
1,"ba re","re",377
1,"re bu","bu",353
1,"bu ka","ka",335
1,"ka ba","ba",318
1,"ba ka","ka",354
1,"ka re","re",374
1,"re ba","ba",305
1,"ba ba","ba",346
1,"ba ka","ka",345
1,"ka ti","ti",327
1,"ti ka","ka",340
1,"ka go","go",334
1,"go bu","bu",355
1,"bu go","go",319
1,"go ta","ta",340
1,"ta go","go",363
1,"go to","to",344
1,"to bu","bu",320
1,"bu ti","ti",332
1,"ti bu","bu",345
1,"bu ka","ka",338
1,"ka ta","ta",341
1,"ta to","to",340
1,"to bu","bu",343
1,"bu ka","ka",342
1,"ka bu","bu",348
1,"bu to","to",368
1,"to bu","bu",352
1,"bu ti","ti",350
1,"ti ka","ka",370
1,"ka ta","ta",351
1,"ta ka","ka",340
1,"ka ba","ba",330
1,"ba ka","ka",344
1,"ka ti","ti",351
1,"ti ta","ta",354
1,"ta bu","bu",380
1,"bu ti","ti",351
1,"ti ba","ba",339
1,"ba go","go",336
1,"go bu","bu",345
1,"bu bu","bu",370
1,"bu re","re",344
1,"re bu","bu",316
1,"bu ka","ka",339
1,"ka ka","ka",328
1,"ka bu","bu",319
1,"bu ka","ka",360
1,"ka ba","ba",324
1,"ba ka","ka",361
1,"ka ti","ti",357
1,"ti bu","bu",363
1,"bu go","go",351
1,"go ka","ka",329
1,"ka re","re",338
1,"re bu","bu",340
1,"bu ka","ka",325
1,"ka ba","ba",327
1,"ba go","go",359
1,"go bu","bu",370
1,"bu ti","ti",343
1,"ti go","go",357
1,"go bu","bu",359
1,"bu ba","ba",347
1,"ba ka","ka",347
1,"ka ti","ti",357
1,"ti to","to",342
1,"to ba","ba",324
1,"ba ta","ta",354
1,"ta bu","bu",331
1,"bu ti","ti",349
1,"ti ka","ka",344
1,"ka to","to",356
1,"to bu","bu",345
1,"bu ti","ti",358
1,"ti ba","ba",328
1,"ba ti","ti",370
1,"ti go","go",358
1,"go bu","bu",368
1,"bu ba","ba",371
1,"ba ka","ka",329
1,"ka ti","ti",337
1,"ti ta","ta",380
1,"ta to","to",368
1,"to ba","ba",337
1,"ba bu","bu",349
1,"bu go","go",356
1,"go ka","ka",326
1,"ka re","re",362
1,"re ba","ba",356
1,"ba ka","ka",347
1,"ka re","re",338
1,"re ba","ba",319
1,"ba ta","ta",360
1,"ta ti","ti",334
1,"ti ba","ba",370
1,"ba ka","ka",352
1,"ka bu","bu",326
1,"bu ka","ka",359
1,"ka re","re",304
1,"re ba","ba",337
1,"ba ba","ba",342
1,"ba ba","ba",344
1,"ba bu","bu",354
1,"bu bu","bu",345
1,"bu ba","ba",328
1,"ba ba","ba",365
1,"ba ka","ka",329
1,"ka ba","ba",349
1,"ba ta","ta",356
1,"ta bu","bu",336
1,"bu ti","ti",358
1,"ti ba","ba",349
1,"ba re","re",359
1,"re do","do",357
1,"do ba","ba",355
1,"ba re","re",361
1,"re do","do",340
1,"do ta","ta",360
1,"ta ta","ta",340
1,"ta bu","bu",326
1,"bu ti","ti",354
1,"ti ta","ta",316
1,"ta ti","ti",364
1,"ti go","go",336
1,"go bu","bu",325
1,"bu ta","ta",342
1,"ta ka","ka",340
1,"ka ta","ta",344
1,"ta ta","ta",332
1,"ta bu","bu",342
1,"bu ti","ti",357
1,"ti ti","ti",357
1,"ti go","go",332
1,"go bu","bu",346
1,"bu go","go",362
1,"go ta","ta",375
1,"ta bu","bu",343
1,"bu ti","ti",356
1,"ti bu","bu",332
1,"bu ba","ba",359
1,"ba ka","ka",356
1,"ka go","go",323
1,"go ta","ta",356
1,"ta bu","bu",359
1,"bu ti","ti",341
1,"ti ba","ba",321
1,"ba to","to",355
1,"to ka","ka",332
1,"ka bu","bu",371
1,"bu ka","ka",336
1,"ka re","re",323
1,"re ba","ba",332
1,"ba ba","ba",358
1,"ba ba","ba",330
1,"ba ka","ka",360
1,"ka ti","ti",332
1,"ti ti","ti",317
1,"ti ba","ba",342
1,"ba ka","ka",347
1,"ka ba","ba",364
1,"ba re","re",366
1,"re do","do",364
1,"do ta","ta",353
1,"ta bu","bu",352
1,"bu ti","ti",326
1,"ti bu","bu",361
1,"bu bu","bu",344
1,"bu go","go",350
1,"go ta","ta",355
1,"ta bu","bu",352
1,"bu go","go",322
1,"go ba","ba",350
1,"ba ka","ka",345
1,"ka ti","ti",317
1,"ti to","to",321
1,"to to","to",366
1,"to go","go",347
1,"go ka","ka",341
1,"ka to","to",354
1,"to ti","ti",360
1,"ti go","go",364
1,"go bu","bu",324
1,"bu ta","ta",381
1,"ta go","go",345
1,"go ti","ti",369
1,"ti go","go",333
1,"go bu","bu",351
1,"bu ba","ba",317
1,"ba go","go",364
1,"go bu","bu",370
1,"bu bu","bu",339
1,"bu bu","bu",333
1,"bu ta","ta",344
1,"ta bu","bu",366
1,"bu ti","ti",336
1,"ti ba","ba",354
1,"ba to","to",348
1,"to bu","bu",345
1,"bu ti","ti",362
1,"ti bu","bu",361
1,"bu ba","ba",360
1,"ba ba","ba",330
1,"ba ka","ka",356
1,"ka to","to",356
1,"to ti","ti",345
1,"ti ba","ba",355
1,"ba ka","ka",342
1,"ka bu","bu",336
1,"bu bu","bu",335
1,"bu re","re",388
1,"re bu","bu",347
1,"bu ka","ka",340
1,"ka ka","ka",349
1,"ka re","re",343
1,"re ba","ba",360
1,"ba go","go",354
1,"go ba","ba",340
1,"ba re","re",328
1,"re do","do",354
1,"do go","go",351
1,"go ba","ba",334
1,"ba ta","ta",363
1,"ta go","go",344
1,"go ka","ka",354
1,"ka bu","bu",352
1,"bu bu","bu",379
1,"bu to","to",322
1,"to go","go",358
1,"go bu","bu",346
1,"bu ba","ba",338
1,"ba ta","ta",329
1,"ta bu","bu",343
1,"bu ti","ti",384
1,"ti go","go",366
1,"go go","go",374
1,"go bu","bu",348
1,"bu bu","bu",336
1,"bu go","go",349
1,"go ba","ba",368
1,"ba bu","bu",354
1,"bu go","go",334
1,"go ka","ka",302
1,"ka re","re",346
1,"re bu","bu",303
1,"bu ka","ka",377
1,"ka ka","ka",335
1,"ka bu","bu",330
1,"bu ba","ba",336
1,"ba ba","ba",340
1,"ba go","go",327
1,"go ta","ta",349
1,"ta ta","ta",343
1,"ta ka","ka",339
1,"ka ta","ta",347
1,"ta ti","ti",357
1,"ti ba","ba",355
1,"ba ka","ka",316
1,"ka to","to",362
1,"to bu","bu",336
1,"bu bu","bu",386
1,"bu ka","ka",343
1,"ka re","re",341
1,"re ba","ba",341
1,"ba ka","ka",370
1,"ka re","re",346
1,"re ba","ba",349
1,"ba to","to",346
1,"to bu","bu",325
1,"bu ba","ba",358
1,"ba ka","ka",333
1,"ka ti","ti",350
1,"ti ka","ka",351
1,"ka ba","ba",323
1,"ba ka","ka",349
1,"ka ti","ti",361
1,"ti go","go",360
1,"go bu","bu",352
1,"bu re","re",347
1,"re bu","bu",354
1,"bu ka","ka",327
1,"ka bu","bu",323
1,"bu ba","ba",342
1,"ba ti","ti",347
1,"ti go","go",324
1,"go bu","bu",338
1,"bu ka","ka",371
1,"ka re","re",350
1,"re ba","ba",329
1,"ba ka","ka",318
1,"ka re","re",376
1,"re ba","ba",346
1,"ba bu","bu",351
1,"bu bu","bu",349
1,"bu go","go",328
1,"go to","to",340
1,"to bu","bu",359
1,"bu ti","ti",355
1,"ti to","to",346
1,"to ba","ba",353
1,"ba ka","ka",314
1,"ka bu","bu",366
1,"bu ti","ti",392
1,"ti go","go",358
1,"go bu","bu",343
1,"bu to","to",341
1,"to ta","ta",341
1,"ta to","to",323
1,"to ta","ta",344
1,"ta ta","ta",345
1,"ta bu","bu",330
1,"bu ti","ti",350
1,"ti to","to",358
1,"to bu","bu",336
1,"bu ti","ti",344
1,"ti to","to",329
1,"to bu","bu",343
1,"bu ti","ti",349
1,"ti ti","ti",333
1,"ti ba","ba",318
1,"ba ka","ka",356
1,"ka to","to",334
1,"to to","to",334
1,"to ta","ta",364
1,"ta go","go",378
1,"go ta","ta",361
1,"ta bu","bu",350
1,"bu ti","ti",363
1,"ti ba","ba",335
1,"ba ka","ka",341
1,"ka go","go",348
1,"go bu","bu",347
1,"bu ta","ta",355
1,"ta bu","bu",306
1,"bu ka","ka",369
1,"ka ba","ba",373
1,"ba ba","ba",354
1,"ba go","go",321
1,"go ka","ka",322
1,"ka re","re",340
1,"re ba","ba",370
1,"ba ka","ka",337
1,"ka ta","ta",322
1,"ta bu","bu",356
1,"bu ti","ti",369
1,"ti ka","ka",334
1,"ka bu","bu",333
1,"bu to","to",331
1,"to go","go",351
1,"go ka","ka",342
1,"ka ti","ti",356
1,"ti go","go",324
1,"go bu","bu",373
1,"bu ta","ta",350
1,"ta bu","bu",360
1,"bu ba","ba",323
1,"ba bu","bu",356
1,"bu ba","ba",327
1,"ba ka","ka",332
1,"ka ti","ti",358
1,"ti ka","ka",339
1,"ka ba","ba",337
1,"ba ka","ka",347
1,"ka re","re",341
1,"re ba","ba",377
1,"ba ta","ta",332
1,"ta bu","bu",349
1,"bu ti","ti",361
1,"ti go","go",357
1,"go re","re",350
1,"re bu","bu",345
1,"bu ka","ka",362
1,"ka bu","bu",351
1,"bu ti","ti",331
1,"ti go","go",355
1,"go bu","bu",342
1,"bu ba","ba",342
1,"ba re","re",337
1,"re do","do",362
1,"do go","go",341
1,"go ba","ba",343
1,"ba ka","ka",331
1,"ka ti","ti",343
1,"ti go","go",353
1,"go to","to",380
1,"to ka","ka",365
1,"ka ba","ba",339
1,"ba bu","bu",322
1,"bu to","to",356
1,"to ka","ka",344
1,"ka go","go",362
1,"go go","go",351
1,"go ka","ka",345
1,"ka re","re",348
1,"re ba","ba",359
1,"ba to","to",345
1,"to go","go",361
1,"go ba","ba",364
1,"ba ta","ta",341
1,"ta ta","ta",374
1,"ta bu","bu",384
1,"bu ti","ti",372
1,"ti bu","bu",345
1,"bu bu","bu",357
1,"bu bu","bu",336
1,"bu go","go",375
1,"go go","go",342
1,"go ka","ka",368
1,"ka bu","bu",349
1,"bu ba","ba",373
1,"ba ka","ka",373
1,"ka to","to",350
1,"to ka","ka",321
1,"ka ba","ba",365
1,"ba re","re",329
1,"re do","do",367
1,"do ta","ta",334
1,"ta ka","ka",355
1,"ka bu","bu",363
1,"bu ka","ka",331
1,"ka to","to",338
1,"to ka","ka",344
1,"ka ka","ka",355
1,"ka bu","bu",329
1,"bu ta","ta",351
1,"ta ta","ta",327
1,"ta to","to",341
1,"to ba","ba",343
1,"ba ta","ta",359
1,"ta bu","bu",324
1,"bu ba","ba",337
1,"ba bu","bu",369
1,"bu bu","bu",316
1,"bu to","to",343
1,"to ti","ti",320
1,"ti go","go",340
1,"go bu","bu",326
1,"bu to","to",346
1,"to bu","bu",353
1,"bu ti","ti",342
1,"ti ka","ka",351
1,"ka go","go",323
1,"go ba","ba",355
1,"ba re","re",359
1,"re do","do",342
1,"do ba","ba",367
1,"ba re","re",370
1,"re do","do",347
1,"do ta","ta",339
1,"ta bu","bu",334
1,"bu ba","ba",357
1,"ba to","to",362
1,"to bu","bu",345
1,"bu ti","ti",349
1,"ti ka","ka",359
1,"ka ba","ba",335
1,"ba ka","ka",355
1,"ka ti","ti",377
1,"ti ka","ka",358
1,"ka to","to",361
1,"to bu","bu",369
1,"bu re","re",362
1,"re bu","bu",369
1,"bu ka","ka",348
1,"ka re","re",342
1,"re bu","bu",337
1,"bu ka","ka",366
1,"ka bu","bu",401
1,"bu bu","bu",331
1,"bu ba","ba",367
1,"ba to","to",356
1,"to ti","ti",367
1,"ti ba","ba",333
1,"ba ka","ka",345
1,"ka ka","ka",338
1,"ka bu","bu",365
1,"bu ka","ka",353
1,"ka to","to",339
1,"to go","go",375
1,"go ba","ba",319
1,"ba re","re",336
1,"re do","do",366
1,"do ka","ka",349
1,"ka ka","ka",344
1,"ka ka","ka",321
1,"ka bu","bu",329
1,"bu bu","bu",372
1,"bu bu","bu",351
1,"bu ba","ba",334
1,"ba re","re",392
1,"re do","do",336
1,"do bu","bu",339
1,"bu to","to",325
1,"to bu","bu",330
1,"bu ti","ti",349
1,"ti to","to",338
1,"to ba","ba",351
1,"ba ba","ba",357
1,"ba ka","ka",343
1,"ka ti","ti",340
1,"ti bu","bu",339
1,"bu ba","ba",361
1,"ba ka","ka",348
1,"ka ti","ti",336
1,"ti ti","ti",340
1,"ti go","go",328
1,"go bu","bu",352
1,"bu ta","ta",329
1,"ta ba","ba",336
1,"ba re","re",341
1,"re do","do",335
1,"do go","go",347
1,"go ka","ka",343
1,"ka re","re",341
1,"re ba","ba",324
1,"ba to","to",376
1,"to bu","bu",358
1,"bu re","re",341
1,"re bu","bu",366
1,"bu ka","ka",329
1,"ka ta","ta",352
1,"ta bu","bu",316
1,"bu bu","bu",321
1,"bu ta","ta",345
1,"ta ka","ka",342
1,"ka ta","ta",347
1,"ta ka","ka",334
1,"ka bu","bu",356
1,"bu ka","ka",351
1,"ka ba","ba",361
1,"ba ka","ka",345
1,"ka ti","ti",333
1,"ti go","go",372
1,"go to","to",368
1,"to bu","bu",339
1,"bu bu","bu",375
1,"bu to","to",349
1,"to bu","bu",312
1,"bu ti","ti",364
1,"ti to","to",392
1,"to bu","bu",353
1,"bu ti","ti",370
1,"ti to","to",349
1,"to to","to",350
1,"to bu","bu",350
1,"bu re","re",339
1,"re bu","bu",341
1,"bu ka","ka",352
1,"ka ta","ta",363
1,"ta ka","ka",353
1,"ka re","re",342
1,"re bu","bu",334
1,"bu ka","ka",323
1,"ka ka","ka",329
1,"ka re","re",331
1,"re ba","ba",356
1,"ba bu","bu",357
1,"bu re","re",361
1,"re bu","bu",323
1,"bu ka","ka",329
1,"ka bu","bu",314
1,"bu ba","ba",361
1,"ba re","re",380
1,"re do","do",342
1,"do to","to",329
1,"to to","to",317
1,"to bu","bu",350
1,"bu ti","ti",349
1,"ti ka","ka",349
1,"ka re","re",322
1,"re ba","ba",331
1,"ba bu","bu",353
1,"bu bu","bu",345
1,"bu go","go",361
1,"go ti","ti",332
1,"ti ba","ba",351
1,"ba ka","ka",349
1,"ka ba","ba",372
1,"ba re","re",377
1,"re do","do",330
1,"do go","go",378
1,"go bu","bu",318
1,"bu ti","ti",369
1,"ti ba","ba",378
1,"ba ka","ka",331
1,"ka ka","ka",367
1,"ka ba","ba",345
1,"ba ka","ka",324
1,"ka ti","ti",361
1,"ti ta","ta",346
1,"ta ba","ba",353
1,"ba to","to",368
1,"to go","go",377
1,"go bu","bu",327
1,"bu go","go",347
1,"go ka","ka",334
1,"ka re","re",341
1,"re ba","ba",331
1,"ba ka","ka",335
1,"ka ka","ka",332
1,"ka bu","bu",333
1,"bu go","go",355
1,"go go","go",337
1,"go ka","ka",351
1,"ka bu","bu",353
1,"bu to","to",340
1,"to ba","ba",334
1,"ba ka","ka",349
1,"ka ti","ti",336
1,"ti go","go",340
1,"go ba","ba",340
1,"ba re","re",332
1,"re bu","bu",345
1,"bu ka","ka",361
1,"ka go","go",361
1,"go to","to",350
1,"to bu","bu",345
1,"bu ti","ti",363
1,"ti ba","ba",351
1,"ba re","re",334
1,"re bu","bu",315
1,"bu ka","ka",344
1,"ka re","re",331
1,"re bu","bu",338
1,"bu ka","ka",372
1,"ka bu","bu",338
1,"bu ta","ta",355
1,"ta ta","ta",359
1,"ta bu","bu",360
1,"bu to","to",331
1,"to ka","ka",330
1,"ka ba","ba",317
1,"ba re","re",365
1,"re do","do",353
1,"do ta","ta",360
1,"ta bu","bu",354
1,"bu ti","ti",336
1,"ti go","go",354
1,"go bu","bu",334
1,"bu ka","ka",347
1,"ka bu","bu",398
1,"bu bu","bu",340
1,"bu bu","bu",361
1,"bu bu","bu",369
1,"bu ba","ba",308
1,"ba ta","ta",374
1,"ta ka","ka",309
1,"ka bu","bu",308
1,"bu go","go",348
1,"go go","go",332
1,"go ka","ka",363
1,"ka ta","ta",356
1,"ta bu","bu",342
1,"bu ti","ti",350
1,"ti ta","ta",377
1,"ta ba","ba",340
1,"ba ka","ka",348
1,"ka bu","bu",339
1,"bu to","to",337
1,"to bu","bu",363
1,"bu ti","ti",315
1,"ti ka","ka",342
1,"ka re","re",343
1,"re ba","ba",326
1,"ba ba","ba",329
1,"ba re","re",318
1,"re do","do",357
1,"do ta","ta",348
1,"ta bu","bu",337
1,"bu ti","ti",331
1,"ti to","to",344
1,"to ta","ta",336
1,"ta go","go",365
1,"go ta","ta",368
1,"ta bu","bu",339
1,"bu ti","ti",367
1,"ti ta","ta",325
1,"ta bu","bu",364
1,"bu bu","bu",336
1,"bu ta","ta",333
1,"ta ta","ta",358
1,"ta ti","ti",347
1,"ti go","go",372
1,"go bu","bu",327
1,"bu ba","ba",323
1,"ba ti","ti",343
1,"ti ba","ba",363
1,"ba ka","ka",341
1,"ka re","re",343
1,"re bu","bu",325
1,"bu ka","ka",361
1,"ka ta","ta",359
1,"ta bu","bu",313
1,"bu ta","ta",334
1,"ta ti","ti",369
1,"ti go","go",376
1,"go bu","bu",339
1,"bu bu","bu",338
1,"bu ba","ba",326
1,"ba re","re",367
1,"re do","do",379
1,"do ka","ka",373
1,"ka to","to",315
1,"to ba","ba",347
1,"ba go","go",352
1,"go ka","ka",342
1,"ka to","to",355
1,"to ba","ba",320
1,"ba ba","ba",355
1,"ba re","re",327
1,"re do","do",342
1,"do go","go",353
1,"go bu","bu",342
1,"bu ta","ta",339
1,"ta ba","ba",336
1,"ba ka","ka",342
1,"ka ta","ta",387
1,"ta bu","bu",342
1,"bu re","re",360
1,"re bu","bu",314
1,"bu ka","ka",314
1,"ka to","to",339
1,"to to","to",352
1,"to to","to",331
1,"to ta","ta",337
1,"ta bu","bu",355
1,"bu bu","bu",345
1,"bu ta","ta",347
1,"ta bu","bu",333
1,"bu ti","ti",367
1,"ti go","go",334
1,"go to","to",346
1,"to ba","ba",335
1,"ba re","re",331
1,"re bu","bu",334
1,"bu ka","ka",371
1,"ka bu","bu",371
1,"bu ba","ba",349
1,"ba ti","ti",352
1,"ti ba","ba",341
1,"ba ka","ka",347
1,"ka to","to",345
1,"to go","go",355
1,"go ta","ta",344
1,"ta ta","ta",363
1,"ta bu","bu",363
1,"bu ti","ti",331
1,"ti to","to",316
1,"to bu","bu",321
1,"bu go","go",326
1,"go bu","bu",337
1,"bu ka","ka",315
1,"ka re","re",350
1,"re ba","ba",360
1,"ba go","go",336
1,"go ka","ka",338
1,"ka ba","ba",325
1,"ba ba","ba",367
1,"ba ta","ta",366
1,"ta re","re",370
1,"re bu","bu",357
1,"bu ka","ka",353
1,"ka to","to",304
1,"to go","go",353
1,"go ba","ba",328
1,"ba ta","ta",332
1,"ta bu","bu",367
1,"bu bu","bu",335
1,"bu to","to",375
1,"to to","to",371
1,"to to","to",340
1,"to bu","bu",365
1,"bu ka","ka",356
1,"ka bu","bu",387
1,"bu ba","ba",335
1,"ba ta","ta",366
1,"ta to","to",338
1,"to bu","bu",337
1,"bu ti","ti",331
1,"ti ba","ba",336
1,"ba ka","ka",356
1,"ka bu","bu",359
1,"bu bu","bu",323
1,"bu bu","bu",363
1,"bu to","to",348
1,"to ta","ta",337
1,"ta bu","bu",352
1,"bu ti","ti",345
1,"ti ba","ba",364
1,"ba re","re",371
1,"re do","do",342
1,"do ka","ka",353
1,"ka ta","ta",348
1,"ta ta","ta",337
1,"ta bu","bu",370
1,"bu ti","ti",351
1,"ti to","to",351
1,"to ti","ti",351
1,"ti go","go",326
1,"go bu","bu",365
1,"bu ta","ta",366
1,"ta ba","ba",319
1,"ba ba","ba",350
1,"ba ka","ka",340
1,"ka ti","ti",333
1,"ti ka","ka",356
1,"ka re","re",347
1,"re ba","ba",335
1,"ba bu","bu",344
1,"bu to","to",348
1,"to ka","ka",331
1,"ka re","re",375
1,"re ba","ba",343
1,"ba ta","ta",339
1,"ta bu","bu",328
1,"bu to","to",337
1,"to bu","bu",283
1,"bu ba","ba",340
1,"ba to","to",334
1,"to bu","bu",375
1,"bu to","to",350
1,"to bu","bu",344
1,"bu ba","ba",360
1,"ba ka","ka",346
1,"ka bu","bu",372
1,"bu ta","ta",365
1,"ta bu","bu",345
1,"bu ti","ti",338
1,"ti ti","ti",362
1,"ti go","go",366
1,"go bu","bu",335
1,"bu ta","ta",346
1,"ta ta","ta",355
1,"ta bu","bu",353
1,"bu ti","ti",328
1,"ti go","go",345
1,"go to","to",335
1,"to bu","bu",353
1,"bu ti","ti",336
1,"ti bu","bu",334
1,"bu to","to",386
1,"to go","go",365
1,"go ta","ta",320
1,"ta ta","ta",348
1,"ta bu","bu",334
1,"bu ti","ti",346
1,"ti go","go",355
1,"go go","go",292
1,"go to","to",356
1,"to ka","ka",342
1,"ka ba","ba",328
1,"ba ka","ka",359
1,"ka ti","ti",393
1,"ti ba","ba",338
1,"ba ka","ka",350
1,"ka ba","ba",366
1,"ba ka","ka",321
1,"ka re","re",346
1,"re ba","ba",345
1,"ba ba","ba",357
1,"ba ta","ta",323
1,"ta ka","ka",349
1,"ka go","go",330
1,"go re","re",373
1,"re bu","bu",346
1,"bu ka","ka",357
1,"ka bu","bu",345
1,"bu to","to",331
1,"to ta","ta",357
1,"ta to","to",378
1,"to ta","ta",313
1,"ta to","to",335
1,"to ba","ba",342
1,"ba re","re",363
1,"re do","do",326
1,"do ba","ba",344
1,"ba ka","ka",336
1,"ka ti","ti",350
1,"ti ka","ka",329
1,"ka ka","ka",337
1,"ka to","to",370
1,"to ba","ba",319
1,"ba ba","ba",355
1,"ba ba","ba",322
1,"ba bu","bu",392
1,"bu ba","ba",347
1,"ba ta","ta",332
1,"ta bu","bu",326
1,"bu ti","ti",335
1,"ti ka","ka",353
1,"ka ti","ti",344
1,"ti ba","ba",338
1,"ba ka","ka",330
1,"ka bu","bu",360
1,"bu ba","ba",336
1,"ba to","to",336
1,"to ta","ta",351
1,"ta bu","bu",320
1,"bu ba","ba",339
1,"ba to","to",355
1,"to ka","ka",351
1,"ka ta","ta",362
1,"ta go","go",365
1,"go ta","ta",372
1,"ta ba","ba",375
1,"ba ti","ti",328
1,"ti ba","ba",335
1,"ba ka","ka",333
1,"ka bu","bu",353
1,"bu ka","ka",363
1,"ka ba","ba",363
1,"ba re","re",334
1,"re do","do",341
1,"do to","to",337
1,"to ba","ba",360
1,"ba go","go",332
1,"go to","to",363
1,"to bu","bu",332
1,"bu ti","ti",372
1,"ti ti","ti",336
1,"ti ba","ba",326
1,"ba ka","ka",373
1,"ka bu","bu",370
